"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration"
"14800.302194557673"," 667.1496960222838","14779.364","14","37.92519932100001", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"15590.270260516074"," 642.0350011444204","15568.128","14","39.59097625", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"15928.830177512873"," 619.1859921033658","15906.109","14","40.654243791", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"16508.716212518873"," 604.3166947629819","16485.045","14","41.823579765", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"17130.269475533572"," 585.7673444151968","17105.939","14","43.545853216", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"20013.014792181373"," 570.1553393643625","19984.822","14","49.546654549", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"23813.90089627399"," 557.8957395871504","23779.828","14","58.86875410900001", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"26081.38496066539"," 540.4597052451131","26043.359","14","64.54015076499999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"26470.55919794239"," 636.0703394562034","26431.785","14","65.700524699", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"26903.14844729239"," 625.2637615926216","26863.348","14","66.934953741", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"27092.244593552332"," 607.078161576203","27052.382","14","67.624773912", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"28044.480909687434"," 692.5902141025971","28002.85","14","69.755750685", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"33257.317522744524"," 675.1648503541833","33206.4","14","83.110208987", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"34521.87952407201"," 661.5506796450162","34468.86","14","86.025721585", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"35226.11845373183"," 648.1725837054895","35171.601","14","88.161170947", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"40128.94562639309"," 723.8604661745795","40066.116","14","100.042538949", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"40420.2560180696"," 711.9170260429399","40356.891","14","101.025971943", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"41245.55871546471"," 695.3735759956098","41181.075","14","102.9201701", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"41608.3464073154"," 685.909640828762","41543.396","14","103.81168916600001", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"42894.09743585441"," 753.6791840653025","42826.81","14","106.53175876899999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"43145.93661760661"," 737.7101107456409","43078.323","14","107.332738493", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"43549.15738241461"," 722.235173951249","43480.842","14","108.21397940599999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"45447.573417038104"," 707.967074389037","45376.387","14","112.42109806399999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"46177.6268429022"," 693.1290213808043","46105.263","14","113.91561033699999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"47828.71437862973"," 684.1380526622041","47754.142","14","117.674321399", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"49022.65415296236"," 743.6454393425674","48946.075","14","120.41531788399999", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"49707.076380081366"," 731.653000135416","49629.284","14","122.18291558699998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"51610.51688279736"," 731.648940224636","51529.027","14","126.931066604", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"51646.48793327496"," 731.649014923561","51565.107","14","127.24083625200001", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"52869.75208290455"," 731.650561892975","52786.132","14","130.35292339999998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"54254.686070091455"," 731.647490892395","54168.699","14","133.551335132", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"55964.94013141776"," 731.6443958210791","55875.653","14","138.00108382400003", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
"55991.56842658107"," 731.6445414614531","55902.434","14","138.08647026999998", " R='1.1', block-rst='false', cir-bump='12000', cla-prep-lim='-1', elim-clear-watch='false', lbd-core-th='5', pol-act-init='false', pq-order='true', prob-limit='259', prob-step-width='600', reduce-confl-limit='10000', reduce-frac='0.85', size-lbd-queue='58', size-trail-queue='5000'"
